"Id","Pred"
"2012_1104_1124",0.370591751659093
"2012_1104_1125",0.93
"2012_1104_1140",0.653448101224302
"2012_1104_1143",0.557423075960172
"2012_1104_1153",0.379475507058379
"2012_1104_1160",0.650468015136022
"2012_1104_1161",0.64576754130598
"2012_1104_1163",0.05
"2012_1104_1166",0.483182063101408
"2012_1104_1172",0.635271621165537
"2012_1104_1178",0.409816304714798
"2012_1104_1181",0.05
"2012_1104_1196",0.05
"2012_1104_1199",0.410750600386502
"2012_1104_1207",0.630010173320283
"2012_1104_1211",0.100050269478007
"2012_1104_1217",0.524296148449199
"2012_1104_1231",0.254421712779536
"2012_1104_1233",0.93
"2012_1104_1235",0.163944644476064
"2012_1104_1242",0.05
"2012_1104_1243",0.632657833155817
"2012_1104_1246",0.05
"2012_1104_1249",0.707257297842846
"2012_1104_1250",0.699801854666805
"2012_1104_1253",0.923827168980043
"2012_1104_1254",0.846387612295243
"2012_1104_1257",0.05
"2012_1104_1259",0.756440036593448
"2012_1104_1266",0.05
"2012_1104_1272",0.369927006476191
"2012_1104_1276",0.05
"2012_1104_1277",0.05
"2012_1104_1281",0.719686021041897
"2012_1104_1285",0.93
"2012_1104_1290",0.853989407890235
"2012_1104_1293",0.686831968596498
"2012_1104_1301",0.109822544230673
"2012_1104_1307",0.80666412531783
"2012_1104_1308",0.880494073377567
"2012_1104_1313",0.425907059855622
"2012_1104_1314",0.05
"2012_1104_1323",0.187578195275655
"2012_1104_1325",0.310089384745233
"2012_1104_1326",0.134433536321487
"2012_1104_1345",0.467936085277839
"2012_1104_1355",0.746593493999011
"2012_1104_1361",0.342466804054358
"2012_1104_1378",0.523555309873031
"2012_1104_1379",0.874782945599112
"2012_1104_1382",0.681743440329871
"2012_1104_1387",0.216102590985464
"2012_1104_1388",0.629716614069008
"2012_1104_1393",0.0580850963956848
"2012_1104_1396",0.496972287068222
"2012_1104_1400",0.369743945413577
"2012_1104_1421",0.599174298923383
"2012_1104_1424",0.764076582993746
"2012_1104_1433",0.523057132634092
"2012_1104_1435",0.713598660026928
"2012_1104_1436",0.404597224957772
"2012_1104_1438",0.332652344677299
"2012_1104_1443",0.368880612060868
"2012_1104_1452",0.0728328237652185
"2012_1104_1455",0.05
"2012_1104_1458",0.05
"2012_1104_1462",0.25100044039404
"2012_1124_1125",0.93
"2012_1124_1140",0.782856349565209
"2012_1124_1143",0.686831324301079
"2012_1124_1153",0.508883755399286
"2012_1124_1160",0.779876263476929
"2012_1124_1161",0.775175789646886
"2012_1124_1163",0.05
"2012_1124_1166",0.612590311442314
"2012_1124_1172",0.764679869506444
"2012_1124_1178",0.539224553055704
"2012_1124_1181",0.05
"2012_1124_1196",0.05
"2012_1124_1199",0.540158848727409
"2012_1124_1207",0.75941842166119
"2012_1124_1211",0.229458517818914
"2012_1124_1217",0.653704396790106
"2012_1124_1231",0.383829961120443
"2012_1124_1233",0.93
"2012_1124_1235",0.293352892816971
"2012_1124_1242",0.15145594829446
"2012_1124_1243",0.762066081496724
"2012_1124_1246",0.05
"2012_1124_1249",0.836665546183753
"2012_1124_1250",0.829210103007711
"2012_1124_1253",0.93
"2012_1124_1254",0.93
"2012_1124_1257",0.05
"2012_1124_1259",0.885848284934355
"2012_1124_1266",0.05
"2012_1124_1272",0.499335254817098
"2012_1124_1276",0.05
"2012_1124_1277",0.05
"2012_1124_1281",0.849094269382804
"2012_1124_1285",0.93
"2012_1124_1290",0.93
"2012_1124_1293",0.816240216937405
"2012_1124_1301",0.23923079257158
"2012_1124_1307",0.93
"2012_1124_1308",0.93
"2012_1124_1313",0.555315308196529
"2012_1124_1314",0.0953169524505481
"2012_1124_1323",0.316986443616561
"2012_1124_1325",0.43949763308614
"2012_1124_1326",0.263841784662394
"2012_1124_1345",0.597344333618746
"2012_1124_1355",0.876001742339917
"2012_1124_1361",0.471875052395265
"2012_1124_1378",0.652963558213938
"2012_1124_1379",0.93
"2012_1124_1382",0.811151688670778
"2012_1124_1387",0.345510839326371
"2012_1124_1388",0.759124862409915
"2012_1124_1393",0.187493344736592
"2012_1124_1396",0.626380535409129
"2012_1124_1400",0.499152193754484
"2012_1124_1421",0.728582547264289
"2012_1124_1424",0.893484831334653
"2012_1124_1433",0.652465380974999
"2012_1124_1435",0.843006908367835
"2012_1124_1436",0.534005473298678
"2012_1124_1438",0.462060593018205
"2012_1124_1443",0.498288860401775
"2012_1124_1452",0.202241072106125
"2012_1124_1455",0.100907021721688
"2012_1124_1458",0.05
"2012_1124_1462",0.380408688734947
"2012_1125_1140",0.204362122873188
"2012_1125_1143",0.108337097609058
"2012_1125_1153",0.05
"2012_1125_1160",0.201382036784908
"2012_1125_1161",0.196681562954866
"2012_1125_1163",0.05
"2012_1125_1166",0.05
"2012_1125_1172",0.186185642814423
"2012_1125_1178",0.05
"2012_1125_1181",0.05
"2012_1125_1196",0.05
"2012_1125_1199",0.05
"2012_1125_1207",0.180924194969169
"2012_1125_1211",0.05
"2012_1125_1217",0.0752101700980847
"2012_1125_1231",0.05
"2012_1125_1233",0.567005295922981
"2012_1125_1235",0.05
