Id,Pred
2012_1104_1124,0.37065819258985755
2012_1104_1125,0.93
2012_1104_1140,0.6528894499850684
2012_1104_1143,0.5575459851639331
2012_1104_1153,0.3827051623108389
2012_1104_1160,0.6482246603332958
2012_1104_1161,0.6400155243653015
2012_1104_1163,0.05
2012_1104_1166,0.4832943864795917
2012_1104_1172,0.6355243915751736
2012_1104_1178,0.4055781728599186
2012_1104_1181,0.05
2012_1104_1196,0.05
2012_1104_1199,0.41011139089312915
2012_1104_1207,0.6273122962212928
2012_1104_1211,0.10591627970402584
2012_1104_1217,0.522686968886309
2012_1104_1231,0.25844343663783415
2012_1104_1233,0.93
2012_1104_1235,0.17119431092386178
2012_1104_1242,0.05
2012_1104_1243,0.6301299539168204
2012_1104_1246,0.05
2012_1104_1249,0.6949743615021127
2012_1104_1250,0.6900425318603001
2012_1104_1253,0.9176543379600853
2012_1104_1254,0.8342426343287613
2012_1104_1257,0.05
2012_1104_1259,0.7443726678869464
2012_1104_1266,0.05
2012_1104_1272,0.37362183965572104
2012_1104_1276,0.05
2012_1104_1277,0.05
2012_1104_1281,0.718317221406789
2012_1104_1285,0.93
2012_1104_1290,0.8434642161319674
2012_1104_1293,0.6826561617252921
2012_1104_1301,0.11598250167962665
2012_1104_1307,0.8027051277896515
2012_1104_1308,0.8765389621663023
2012_1104_1313,0.41703128590826755
2012_1104_1314,0.05
2012_1104_1323,0.18907880679913092
2012_1104_1325,0.3071059914547405
2012_1104_1326,0.14289245915419901
2012_1104_1345,0.4708599790046056
2012_1104_1355,0.7360352885581612
2012_1104_1361,0.3434676260491344
2012_1104_1378,0.5177919896808892
2012_1104_1379,0.8628211892331172
2012_1104_1382,0.6700465696782928
2012_1104_1387,0.21893722715559866
2012_1104_1388,0.6254254059011449
2012_1104_1393,0.0652279996316878
2012_1104_1396,0.49693216629907366
2012_1104_1400,0.3740224543519607
2012_1104_1421,0.5933791407955672
2012_1104_1424,0.7635905263131724
2012_1104_1433,0.5258163753400117
2012_1104_1435,0.7091955645000143
2012_1104_1436,0.3993928834664279
2012_1104_1438,0.33534857480319524
2012_1104_1443,0.36973043284689167
2012_1104_1452,0.07863483455465853
2012_1104_1455,0.05
2012_1104_1458,0.05
2012_1104_1462,0.2538612999078197
2012_1124_1125,0.93
2012_1124_1140,0.7822312573952108
2012_1124_1143,0.6868877925740755
2012_1124_1153,0.5120469697209813
2012_1124_1160,0.7775664677434382
2012_1124_1161,0.769357331775444
2012_1124_1163,0.05
2012_1124_1166,0.6126361938897342
2012_1124_1172,0.764866198985316
2012_1124_1178,0.534919980270061
2012_1124_1181,0.05
2012_1124_1196,0.05
2012_1124_1199,0.5394531983032717
2012_1124_1207,0.7566541036314353
2012_1124_1211,0.2352580871141683
2012_1124_1217,0.6520287762964514
2012_1124_1231,0.3877852440479766
2012_1124_1233,0.93
2012_1124_1235,0.30053611833400423
2012_1124_1242,0.16269900606342752
2012_1124_1243,0.7594717613269628
2012_1124_1246,0.05
2012_1124_1249,0.8243161689122551
2012_1124_1250,0.8193843392704425
2012_1124_1253,0.93
2012_1124_1254,0.93
2012_1124_1257,0.05
2012_1124_1259,0.8737144752970889
2012_1124_1266,0.05
2012_1124_1272,0.5029636470658635
2012_1124_1276,0.05
2012_1124_1277,0.05
2012_1124_1281,0.8476590288169314
2012_1124_1285,0.93
2012_1124_1290,0.93
2012_1124_1293,0.8119979691354345
2012_1124_1301,0.2453243090897691
2012_1124_1307,0.93
2012_1124_1308,0.93
2012_1124_1313,0.54637309331841
2012_1124_1314,0.10650982732512804
2012_1124_1323,0.31842061420927337
2012_1124_1325,0.43644779886488294
2012_1124_1326,0.27223426656434146
2012_1124_1345,0.6002017864147481
2012_1124_1355,0.8653770959683037
2012_1124_1361,0.47280943345927684
2012_1124_1378,0.6471337970910317
2012_1124_1379,0.93
2012_1124_1382,0.7993883770884352
2012_1124_1387,0.3482790345657411
2012_1124_1388,0.7547672133112873
2012_1124_1393,0.19456980704183024
2012_1124_1396,0.6262739737092161
2012_1124_1400,0.5033642617621031
2012_1124_1421,0.7227209482057096
2012_1124_1424,0.8929323337233148
2012_1124_1433,0.6551581827501541
2012_1124_1435,0.8385373719101568
2012_1124_1436,0.5287346908765703
2012_1124_1438,0.4646903822133377
2012_1124_1443,0.4990722402570341
2012_1124_1452,0.20797664196480098
2012_1124_1455,0.10813572591578596
2012_1124_1458,0.05
2012_1124_1462,0.38320310731796214
2012_1125_1140,0.2089039776865157
2012_1125_1143,0.11356051286538027
2012_1125_1153,0.05
2012_1125_1160,0.20423918803474306
2012_1125_1161,0.19603005206674878
2012_1125_1163,0.05
2012_1125_1166,0.05
2012_1125_1172,0.1915389192766208
2012_1125_1178,0.05
2012_1125_1181,0.05
2012_1125_1196,0.05
2012_1125_1199,0.05
2012_1125_1207,0.18332682392274008
2012_1125_1211,0.05
2012_1125_1217,0.07870149658775627
2012_1125_1231,0.05
2012_1125_1233,0.5623308598900993
2012_1125_1235,0.05
2012_1125_1242,0.05
2012_1125_1243,0.18614448161826758
2012_1125_1246,0.05
2012_1125_1249,0.25098888920356
2012_1125_1250,0.24605705956174734
2012_1125_1253,0.4736688656615326
2012_1125_1254,0.3902571620302086
2012_1125_1257,0.05
2012_1125_1259,0.3003871955883938
2012_1125_1266,0.05
2012_1125_1272,0.05
2012_1125_1276,0.05
2012_1125_1277,0.05
2012_1125_1281,0.2743317491082363
2012_1125_1285,0.5124499267197876
2012_1125_1290,0.39947874383341475
2012_1125_1293,0.23867068942673936
2012_1125_1301,0.05
2012_1125_1307,0.35871965549109885
2012_1125_1308,0.4325534898677496
2012_1125_1313,0.05
2012_1125_1314,0.05
2012_1125_1323,0.05
2012_1125_1325,0.05
2012_1125_1326,0.05
2012_1125_1345,0.05
2012_1125_1355,0.29204981625960846
2012_1125_1361,0.05
2012_1125_1378,0.07380651738233651
2012_1125_1379,0.41883571693456456
2012_1125_1382,0.22606109737974006
2012_1125_1387,0.05
2012_1125_1388,0.18143993360259214
2012_1125_1393,0.05
2012_1125_1396,0.05294669400052093
2012_1125_1400,0.05
2012_1125_1421,0.1493936684970144
2012_1125_1424,0.3196050540146196
2012_1125_1433,0.0818309030414589
2012_1125_1435,0.26521009220146163
2012_1125_1436,0.05
2012_1125_1438,0.05
2012_1125_1443,0.05
2012_1125_1452,0.05
2012_1125_1455,0.05
2012_1125_1458,0.05
2012_1125_1462,0.05
2012_1140_1143,0.40465653517886463
2012_1140_1153,0.22981571232577047
2012_1140_1160,0.4953352103482274
2012_1140_1161,0.48712607438023314
2012_1140_1163,0.05
2012_1140_1166,0.33040493649452335
2012_1140_1172,0.48263494159010517
2012_1140_1178,0.2526887228748502
2012_1140_1181,0.05
2012_1140_1196,0.05
2012_1140_1199,0.2572219409080607
2012_1140_1207,0.47442284623622444
2012_1140_1211,0.05
2012_1140_1217,0.3697975189012406
2012_1140_1231,0.10555398665276577
2012_1140_1233,0.8534268822035836
2012_1140_1235,0.05
2012_1140_1242,0.05
2012_1140_1243,0.4772405039317519
2012_1140_1246,0.05
2012_1140_1249,0.5420849115170443
2012_1140_1250,0.5371530818752317
2012_1140_1253,0.7647648879750168
2012_1140_1254,0.6813531843436929
2012_1140_1257,0.05
2012_1140_1259,0.5914832179018781
2012_1140_1266,0.05
2012_1140_1272,0.22073238967065267
2012_1140_1276,0.05
2012_1140_1277,0.05
2012_1140_1281,0.5654277714217206
2012_1140_1285,0.8035459490332719
2012_1140_1290,0.690574766146899
2012_1140_1293,0.5297667117402237
2012_1140_1301,0.05
2012_1140_1307,0.6498156778045832
2012_1140_1308,0.723649512181234
2012_1140_1313,0.2641418359231992
2012_1140_1314,0.05
2012_1140_1323,0.05
2012_1140_1325,0.15421654146967206
2012_1140_1326,0.05
2012_1140_1345,0.3179705290195372
2012_1140_1355,0.5831458385730928
2012_1140_1361,0.19057817606406596
2012_1140_1378,0.36490253969582087
2012_1140_1379,0.7099317392480489
2012_1140_1382,0.5171571196932244
2012_1140_1387,0.06604777717053023
2012_1140_1388,0.4725359559160765
2012_1140_1393,0.05
2012_1140_1396,0.3440427163140053
2012_1140_1400,0.22113300436689232
2012_1140_1421,0.44048969081049877
